,fips,year,Total Investigations,Arrests Made,percentage
5436,42101035500,2015,854,1,0.117096018735363
6175,42101980200,2019,324,1,0.30864197530864196
6153,42101980100,2015,313,1,0.3194888178913738
6151,42101980100,2014,272,1,0.3676470588235294
5559,42101036000,2015,473,2,0.42283298097251587
5464,42101035601,2019,231,1,0.4329004329004329
5188,42101034400,2016,681,3,0.4405286343612335
5488,42101035701,2014,422,2,0.47393364928909953
781,42101008701,2021,202,1,0.49504950495049505
5596,42101036201,2017,196,1,0.5102040816326531
5257,42101034701,2015,577,3,0.5199306759098787
128,42101004001,2014,187,1,0.53475935828877
6169,42101980200,2016,184,1,0.5434782608695652
5319,42101034802,2019,184,1,0.5434782608695652
5667,42101036302,2015,180,1,0.5555555555555556
5590,42101036201,2014,166,1,0.6024096385542169
4292,42101029200,2023,161,1,0.6211180124223602
818,42101008801,2021,160,1,0.625
8,42091200000,2019,159,1,0.628930817610063
5186,42101034400,2015,933,6,0.6430868167202572
5700,42101036400,2015,154,1,0.6493506493506493
1530,42101013401,2015,306,2,0.6535947712418301
3162,42101023600,2018,150,1,0.6666666666666667
6155,42101980100,2016,149,1,0.6711409395973155
1469,42101013100,2014,869,6,0.6904487917146145
5671,42101036302,2017,142,1,0.7042253521126761
5504,42101035701,2022,142,1,0.7042253521126761
6226,42101980600,2017,137,1,0.7299270072992701
3489,42101025500,2018,271,2,0.7380073800738007
3100,42101021800,2016,135,1,0.7407407407407408
3025,42101021400,2014,268,2,0.7462686567164178
3616,42101026200,2018,401,3,0.7481296758104738
155,42101005400,2015,133,1,0.7518796992481203
6157,42101980100,2017,133,1,0.7518796992481203
3491,42101025500,2019,262,2,0.7633587786259541
5086,42101033702,2015,261,2,0.7662835249042145
5204,42101034501,2015,129,1,0.7751937984496124
1797,42101014600,2020,129,1,0.7751937984496124
5848,42101037500,2015,125,1,0.8
809,42101008801,2016,125,1,0.8
5218,42101034502,2014,367,3,0.8174386920980926
3507,42101025600,2018,122,1,0.819672131147541
5206,42101034501,2016,119,1,0.8403361344537815
153,42101005400,2014,118,1,0.847457627118644
5269,42101034701,2021,114,1,0.8771929824561403
5507,42101035702,2014,226,2,0.8849557522123894
6031,42101038400,2019,110,1,0.9090909090909091
1388,42101012000,2018,110,1,0.9090909090909091
815,42101008801,2019,110,1,0.9090909090909091
1471,42101013100,2015,764,7,0.9162303664921465
6171,42101980200,2017,217,2,0.9216589861751152
5078,42101033701,2020,108,1,0.9259259259259258
1384,42101012000,2016,108,1,0.9259259259259258
