,district,year,Total Investigations,Arrests Made,percentage
119,7.0,2023,496,8,1.6129032258064515
101,7.0,2014,6481,131,2.021293010337911
111,7.0,2019,5882,126,2.142128527711663
103,7.0,2015,7464,166,2.2240085744908895
421,77.0,2014,971,22,2.265705458290422
109,7.0,2018,5149,133,2.5830258302583027
191,14.0,2019,47902,1265,2.640808316980502
105,7.0,2016,5788,162,2.7988942639944714
39,2.0,2023,740,21,2.837837837837838
107,7.0,2017,5632,164,2.911931818181818
113,7.0,2020,1059,31,2.927289896128423
423,77.0,2015,1050,32,3.0476190476190474
431,77.0,2019,969,30,3.0959752321981426
189,14.0,2018,38567,1223,3.171104830554619
427,77.0,2017,745,24,3.2214765100671143
31,2.0,2019,19845,640,3.224993701184178
117,7.0,2022,2957,98,3.314169766655394
115,7.0,2021,3460,116,3.352601156069364
187,14.0,2017,44822,1510,3.3688813529070543
211,15.0,2019,36096,1228,3.4020390070921986
131,8.0,2019,55967,2013,3.5967623778297924
91,6.0,2019,63051,2282,3.6192923189164325
271,18.0,2019,97762,3555,3.6363822344060064
291,19.0,2019,94244,3433,3.6426722125546456
251,17.0,2019,55178,2017,3.6554423864583714
11,1.0,2019,50980,1909,3.744605727736367
411,39.0,2019,99598,3739,3.7540914476194303
429,77.0,2018,742,28,3.7735849056603774
123,8.0,2015,52035,1971,3.787835110982992
51,3.0,2019,52205,1983,3.79848673498707
129,8.0,2018,45159,1724,3.817622179410527
171,12.0,2019,49730,1912,3.8447617132515584
151,9.0,2019,56414,2182,3.86783422554685
49,3.0,2018,42360,1653,3.9022662889518416
9,1.0,2018,40984,1609,3.925922311145813
249,17.0,2018,43344,1726,3.9820967146548543
219,15.0,2023,1305,52,3.984674329501916
311,22.0,2019,104609,4172,3.988184573029089
371,26.0,2019,75206,3017,4.011648006807968
391,35.0,2019,86592,3476,4.014227642276423
389,35.0,2018,74894,3019,4.03103052313937
149,9.0,2018,45336,1844,4.067407799541203
409,39.0,2018,75955,3098,4.07873082746363
231,16.0,2019,24968,1026,4.109259852611342
403,39.0,2015,79624,3279,4.118105093941525
89,6.0,2018,46574,1922,4.1267660067849015
127,8.0,2017,44446,1851,4.16460423885164
289,19.0,2018,70094,2942,4.197220874825234
269,18.0,2018,65447,2751,4.203401225419041
121,8.0,2014,32726,1376,4.204607956976105
167,12.0,2017,34041,1432,4.20669193031932
3,1.0,2015,44415,1869,4.208037825059101
43,3.0,2015,46103,1952,4.233997787562632
309,22.0,2018,80403,3426,4.2610350360061195
185,14.0,2016,33932,1450,4.2732523871271955
383,35.0,2015,67099,2881,4.293655643154145
243,17.0,2015,46688,2020,4.32659355723098
407,39.0,2017,77580,3370,4.34390306780098
143,9.0,2015,51222,2250,4.392643785873258
369,26.0,2018,62433,2753,4.4095270129578905
83,6.0,2015,52355,2327,4.444656670805081
405,39.0,2016,71006,3157,4.446103146212995
125,8.0,2016,40644,1821,4.480366105698258
1,1.0,2014,31514,1412,4.48054832772736
307,22.0,2017,81379,3649,4.483957777805085
87,6.0,2017,45203,2033,4.49748910470544
387,35.0,2017,73567,3315,4.506096483477647
41,3.0,2014,32335,1459,4.512138549559301
265,18.0,2016,69057,3129,4.531039576002432
29,2.0,2018,15743,716,4.5480531029663975
385,35.0,2016,63132,2873,4.550782487486536
7,1.0,2017,37828,1722,4.552183567727609
47,3.0,2017,39688,1817,4.57821003829873
247,17.0,2017,40190,1842,4.583229659119184
229,16.0,2018,17866,824,4.612112392253442
435,77.0,2021,477,22,4.612159329140461
147,9.0,2017,44285,2057,4.644913627639156
241,17.0,2014,35581,1678,4.716000112419549
179,12.0,2023,2692,127,4.7176820208023775
85,6.0,2016,41883,1989,4.7489434854236805
401,39.0,2014,50618,2407,4.755225413884389
145,9.0,2016,40350,1934,4.793060718711276
139,8.0,2023,2613,126,4.822043628013777
81,6.0,2014,36242,1753,4.836929529275427
267,18.0,2017,68605,3326,4.848043145543328
175,12.0,2021,22111,1072,4.848265569173715
45,3.0,2016,36076,1750,4.850870384743319
5,1.0,2016,34437,1685,4.892993001713274
245,17.0,2016,36801,1801,4.893888753023016
305,22.0,2016,73452,3595,4.8943527746011
367,26.0,2017,66277,3281,4.950435294295155
303,22.0,2015,83386,4134,4.957666754611085
349,25.0,2018,93375,4631,4.959571619812584
135,8.0,2021,17954,891,4.962682410604879
225,16.0,2016,18149,901,4.964460851837567
141,9.0,2014,34863,1731,4.965149298683418
169,12.0,2018,30018,1498,4.99033912985542
273,18.0,2020,15724,786,4.998728059018061
233,16.0,2020,3624,182,5.022075055187638
351,25.0,2019,114564,5756,5.024265912503055
285,19.0,2016,66911,3389,5.064937005873474
177,12.0,2022,19520,998,5.1127049180327875
27,2.0,2017,17487,905,5.175273059987419
69,5.0,2018,7667,403,5.256293204643277
183,14.0,2015,29952,1576,5.261752136752137
287,19.0,2017,68275,3606,5.281581838154522
365,26.0,2016,64934,3434,5.28844673052638
425,77.0,2016,699,37,5.293276108726753
181,14.0,2014,24225,1285,5.304437564499484
347,25.0,2017,101537,5421,5.3389404847494015
237,16.0,2022,6046,324,5.358914985114125
23,2.0,2015,20203,1084,5.365539771321091
381,35.0,2014,44667,2404,5.382049387691136
193,14.0,2020,8199,449,5.4762775948286375
165,12.0,2016,27134,1491,5.494950984005307
255,17.0,2021,14913,820,5.498558304834708
15,1.0,2021,13879,766,5.519129620289647
67,5.0,2017,8784,486,5.532786885245901
275,18.0,2021,30010,1661,5.5348217260913035
277,18.0,2022,25700,1428,5.556420233463035
263,18.0,2015,77276,4338,5.613644598581708
301,22.0,2014,57421,3227,5.6198951603072045
363,26.0,2015,74281,4204,5.659589935515139
345,25.0,2016,96268,5456,5.667511530311215
137,8.0,2022,13457,767,5.699635877238611
227,16.0,2017,18136,1035,5.706881340979267
25,2.0,2016,17538,1007,5.741817767134223
261,18.0,2014,51076,2941,5.758085989505835
55,3.0,2021,14327,827,5.772318000977176
239,16.0,2023,812,47,5.788177339901478
99,6.0,2023,2279,132,5.792014041246161
279,18.0,2023,3820,222,5.81151832460733
21,2.0,2014,17585,1031,5.862951379016207
95,6.0,2021,16261,962,5.915995326240699
293,19.0,2020,13705,812,5.924844947099599
173,12.0,2020,9642,574,5.953121758971168
343,25.0,2015,99330,5989,6.029396959629517
257,17.0,2022,12261,746,6.084332436179757
71,5.0,2019,6037,368,6.095742918668213
327,24.0,2017,60883,3722,6.113364978729694
259,17.0,2023,2005,123,6.134663341645885
155,9.0,2021,15480,951,6.1434108527131785
361,26.0,2014,52335,3224,6.160313365816375
17,1.0,2022,10871,671,6.172385245147641
295,19.0,2021,25063,1555,6.204365000199497
213,15.0,2020,4940,307,6.2145748987854255
133,8.0,2020,8066,502,6.223654847508059
97,6.0,2022,13277,827,6.228816750772012
413,39.0,2020,15397,962,6.247970383841008
417,39.0,2022,23691,1481,6.251319066312101
19,1.0,2023,1884,118,6.263269639065817
415,39.0,2021,26417,1667,6.310330469016163
281,19.0,2014,48173,3043,6.316816473958442
201,15.0,2014,20762,1312,6.319237067719873
59,3.0,2023,1912,121,6.328451882845189
221,16.0,2014,15701,998,6.35628303929686
205,15.0,2016,20862,1332,6.38481449525453
299,19.0,2023,3176,203,6.39168765743073
57,3.0,2022,11253,724,6.433839864924909
203,15.0,2015,19163,1233,6.434274382925429
313,22.0,2020,15250,985,6.459016393442623
283,19.0,2015,80299,5190,6.463343254585984
209,15.0,2018,18025,1168,6.479889042995839
325,24.0,2016,58986,3824,6.482894246092292
253,17.0,2020,7522,489,6.500930603562882
