,fips,year,counts_x,race,counts_y,percentage,variable,value,representation
29718,42101018002,2022,56,Black - Non-Latino,43,76.78571428571429,Black - Non-Latino,0.60539351,126.83603807664588
29990,42101018400,2021,12,Black - Non-Latino,5,41.66666666666667,Black - Non-Latino,0.3539823,117.70833362760418
29654,42101018002,2019,460,Black - Non-Latino,327,71.08695652173913,Black - Non-Latino,0.60539351,117.42272645397063
29674,42101018002,2020,73,Black - Non-Latino,48,65.75342465753424,Black - Non-Latino,0.60539351,108.61270160880026
29578,42101018002,2016,315,Black - Non-Latino,186,59.04761904761905,Black - Non-Latino,0.60539351,97.5359300558393
29698,42101018002,2021,148,Black - Non-Latino,86,58.108108108108105,Black - Non-Latino,0.60539351,95.98402881475903
29630,42101018002,2018,316,Black - Non-Latino,182,57.59493670886076,Black - Non-Latino,0.60539351,95.13636297300373
1150,42101003902,2014,95,Black - Non-Latino,27,28.421052631578945,Black - Non-Latino,0.30869802,92.06749246910927
29602,42101018002,2017,325,Black - Non-Latino,171,52.61538461538462,Black - Non-Latino,0.60539351,86.91104834504192
29550,42101018002,2015,262,Black - Non-Latino,133,50.76335877862596,Black - Non-Latino,0.60539351,83.85183841601797
29958,42101018400,2018,50,Black - Non-Latino,13,26.0,Black - Non-Latino,0.3539823,73.450000183625
29870,42101018300,2023,11,Black - Non-Latino,4,36.36363636363637,Black - Non-Latino,0.55645722,65.34848512458221
29530,42101018002,2014,236,Black - Non-Latino,91,38.559322033898304,Black - Non-Latino,0.60539351,63.69298877006182
29858,42101018300,2022,34,Black - Non-Latino,11,32.35294117647059,Black - Non-Latino,0.55645722,58.14093161819446
29882,42101018400,2014,64,Black - Non-Latino,13,20.3125,Black - Non-Latino,0.3539823,57.38281264345703
29918,42101018400,2016,92,Black - Non-Latino,17,18.478260869565215,Black - Non-Latino,0.3539823,52.20108708702445
29982,42101018400,2020,11,Black - Non-Latino,2,18.181818181818183,Black - Non-Latino,0.3539823,51.36363649204546
29938,42101018400,2017,87,Black - Non-Latino,14,16.091954022988507,Black - Non-Latino,0.3539823,45.45977022859195
30002,42101018400,2022,19,Black - Non-Latino,3,15.789473684210526,Black - Non-Latino,0.3539823,44.60526326940789
69842,42101037900,2023,19,Black - Non-Latino,7,36.84210526315789,Black - Non-Latino,0.82784572,44.503588498540395
29426,42101018001,2018,541,Black - Non-Latino,473,87.43068391866913,Black - Non-Latino,2.01082753,43.47995171851916
29970,42101018400,2019,52,Black - Non-Latino,8,15.384615384615385,Black - Non-Latino,0.3539823,43.4615385701923
29406,42101018001,2017,463,Black - Non-Latino,390,84.23326133909286,Black - Non-Latino,2.01082753,41.88984887186862
29474,42101018001,2020,63,Black - Non-Latino,52,82.53968253968253,Black - Non-Latino,2.01082753,41.047619106190844
29454,42101018001,2019,534,Black - Non-Latino,439,82.20973782771536,Black - Non-Latino,2.01082753,40.883535062659185
29806,42101018300,2018,66,Black - Non-Latino,15,22.727272727272727,Black - Non-Latino,0.55645722,40.84280320286388
69826,42101037900,2022,92,Black - Non-Latino,31,33.69565217391305,Black - Non-Latino,0.82784572,40.70281618888245
29382,42101018001,2016,377,Black - Non-Latino,305,80.90185676392572,Black - Non-Latino,2.01082753,40.233115748084934
69778,42101037900,2020,83,Black - Non-Latino,27,32.53012048192771,Black - Non-Latino,0.82784572,39.2949068842534
29506,42101018001,2022,98,Black - Non-Latino,77,78.57142857142857,Black - Non-Latino,2.01082753,39.07417587993167
29898,42101018400,2015,37,Black - Non-Latino,5,13.513513513513514,Black - Non-Latino,0.3539823,38.17567577111486
29354,42101018001,2015,307,Black - Non-Latino,233,75.8957654723127,Black - Non-Latino,2.01082753,37.74354803681881
29490,42101018001,2021,95,Black - Non-Latino,70,73.68421052631578,Black - Non-Latino,2.01082753,36.643724748644054
29842,42101018300,2021,15,Black - Non-Latino,3,20.0,Black - Non-Latino,0.55645722,35.94166681852021
69754,42101037900,2019,321,Black - Non-Latino,86,26.791277258566975,Black - Non-Latino,0.82784572,32.36264512977971
69802,42101037900,2021,105,Black - Non-Latino,28,26.666666666666668,Black - Non-Latino,0.82784572,32.21212119894353
1194,42101004002,2014,103,Black - Non-Latino,16,15.53398058252427,Black - Non-Latino,0.50020008,31.055533982570072
21679,42101015101,2023,11,Asian,1,9.090909090909092,Asian,0.29440628,30.8787879487798
23006,42101015800,2018,193,Black - Non-Latino,113,58.549222797927456,Black - Non-Latino,2.02322308,28.938589805889052
69698,42101037900,2017,343,Black - Non-Latino,82,23.9067055393586,Black - Non-Latino,0.82784572,28.878213611297767
29334,42101018001,2014,177,Black - Non-Latino,101,57.06214689265536,Black - Non-Latino,2.01082753,28.377444629801428
1110,42101003800,2014,383,Black - Non-Latino,187,48.825065274151434,Black - Non-Latino,1.74448435,27.988250667970416
23062,42101015800,2021,53,Black - Non-Latino,30,56.60377358490566,Black - Non-Latino,2.02322308,27.97703038505554
29774,42101018300,2016,137,Black - Non-Latino,21,15.328467153284672,Black - Non-Latino,0.55645722,27.54653296309943
4107,42101006900,2017,190,Asian,4,2.1052631578947367,Asian,0.07877117,26.72631570528579
23026,42101015800,2019,210,Black - Non-Latino,112,53.333333333333336,Black - Non-Latino,2.02322308,26.360579740585667
69674,42101037900,2016,335,Black - Non-Latino,71,21.19402985074627,Black - Non-Latino,0.82784572,25.601424684234967
69726,42101037900,2018,373,Black - Non-Latino,79,21.179624664879356,Black - Non-Latino,0.82784572,25.58402387449603
64270,42101035601,2023,14,Black - Non-Latino,3,21.428571428571427,Black - Non-Latino,0.86412944,24.797872212953912
25915,42101016902,2020,336,Asian,3,0.8928571428571428,Asian,0.03620565,24.6607129786965
42837,42101026600,2020,337,White - Non-Latino,41,12.166172106824925,White - Non-Latino,0.49497525,24.579354436054988
69650,42101037900,2015,543,Black - Non-Latino,110,20.257826887661142,Black - Non-Latino,0.82784572,24.470534059970912
64062,42101035601,2014,230,Black - Non-Latino,48,20.869565217391305,Black - Non-Latino,0.86412944,24.150971198702944
4071,42101006900,2015,320,Asian,6,1.875,Asian,0.07877117,23.803124925020157
64134,42101035601,2017,255,Black - Non-Latino,52,20.392156862745097,Black - Non-Latino,0.86412944,23.598498001346993
25935,42101016902,2021,479,Asian,4,0.8350730688935281,Asian,0.03620565,23.064716940409248
23278,42101016000,2021,150,Black - Non-Latino,89,59.333333333333336,Black - Non-Latino,2.61353899,22.702295072067525
70215,42101038100,2020,37,Asian,2,5.405405405405405,Asian,0.24009604,22.513513364924325
29738,42101018300,2014,89,Black - Non-Latino,11,12.359550561797752,Black - Non-Latino,0.55645722,22.211142415939456
64254,42101035601,2022,89,Black - Non-Latino,17,19.101123595505616,Black - Non-Latino,0.86412944,22.10447036210873
22986,42101015800,2017,221,Black - Non-Latino,97,43.89140271493213,Black - Non-Latino,2.02322308,21.69380289737112
18298,42101013601,2016,34,Black - Non-Latino,23,67.64705882352942,Black - Non-Latino,3.13784087,21.558473366283046
64186,42101035601,2019,231,Black - Non-Latino,43,18.614718614718615,Black - Non-Latino,0.86412944,21.54158596276805
64162,42101035601,2018,211,Black - Non-Latino,39,18.48341232227488,Black - Non-Latino,0.86412944,21.389633851931812
25891,42101016902,2019,2595,Asian,20,0.7707129094412332,Asian,0.03620565,21.28708943055112
23230,42101016000,2019,807,Black - Non-Latino,433,53.655514250309785,Black - Non-Latino,2.61353899,20.529831181248145
18362,42101013601,2021,14,Black - Non-Latino,9,64.28571428571429,Black - Non-Latino,3.13784087,20.487244876032957
64230,42101035601,2021,148,Black - Non-Latino,26,17.56756756756757,Black - Non-Latino,0.86412944,20.329787129538797
42879,42101026600,2023,37,Asian,1,2.7027027027027026,Asian,0.13499325,20.021021071073573
23046,42101015800,2020,40,Black - Non-Latino,16,40.0,Black - Non-Latino,2.02322308,19.770434805439248
18278,42101013601,2015,68,Black - Non-Latino,42,61.76470588235294,Black - Non-Latino,3.13784087,19.683823508345387
64086,42101035601,2015,208,Black - Non-Latino,34,16.346153846153847,Black - Non-Latino,0.86412944,18.91632559834305
18346,42101013601,2019,66,Black - Non-Latino,39,59.09090909090909,Black - Non-Latino,3.13784087,18.831709936555544
4143,42101006900,2019,343,Asian,5,1.4577259475218658,Asian,0.07877117,18.505830845496718
358,42101000803,2014,87,Black - Non-Latino,33,37.93103448275862,Black - Non-Latino,2.05498473,18.458061478032793
22938,42101015800,2015,252,Black - Non-Latino,94,37.301587301587304,Black - Non-Latino,2.02322308,18.43671499713581
23074,42101015800,2022,46,Black - Non-Latino,17,36.95652173913043,Black - Non-Latino,2.02322308,18.26616259198191
